index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
4890,2023-07,33053061100000,28831,PETRO-HUNT DAKOTA LLC,Arsenal Federal 149-102-17A-20-2H,SESE,8.0,149.0,102.0,MCK,CHARBONNEAU,BAKKEN,10456.0,31909.0,22.0,9889,9077.0,7556,1521.0,47.7333643973714,-103.758454070819,McKenzie,2023,7,31,337.2903225806452,292.80645161290323,1029.3225806451612,243.74193548387098,49.064516129032256,1512.8333333333333,48.80107526881721,386.0913978494624
4891,2023-07,33053061080000,28829,PETRO-HUNT DAKOTA LLC,Arsenal Federal 149-102-17A-20-3H,SESE,8.0,149.0,102.0,MCK,CHARBONNEAU,BAKKEN,7902.0,21315.0,17.0,7327,6722.0,5795,927.0,47.7333616023938,-103.758047269979,McKenzie,2023,7,31,254.90322580645162,216.83870967741936,687.5806451612904,186.93548387096774,29.903225806451612,1120.3333333333333,36.13978494623656,291.0430107526882
4893,2023-07,33053099390000,39338,PETRO-HUNT DAKOTA LLC,Mongoose 149-102-8C-5-4H,SESW,8.0,149.0,102.0,MCK,CHARBONNEAU,BAKKEN,11726.0,16491.0,28.0,11300,6674.0,6427,52.0,47.7333560673002,-103.76961093518,McKenzie,2023,7,31,378.258064516129,215.29032258064515,531.9677419354839,207.32258064516128,1.6774193548387097,1112.3333333333333,35.88172043010753,414.13978494623655
5126,2023-07,33025045990000,39424,CONTINENTAL RESOURCES INC,Bice Federal 7-32H1,SWSW,32.0,146.0,95.0,DUN,CHIMNEY BUTTE,BAKKEN,0.0,918.0,1.0,0,0.0,0,0.0,47.4164804548018,-102.820505505494,Dunn,2023,7,31,0.0,0.0,29.612903225806452,0.0,0.0,0.0,0.0,0.0
5127,2023-07,33025046000000,39425,CONTINENTAL RESOURCES INC,Bice Federal 8-32H,SWSW,32.0,146.0,95.0,DUN,CHIMNEY BUTTE,BAKKEN,0.0,1616.0,2.0,0,0.0,0,0.0,47.4164805620049,-102.820343759341,Dunn,2023,7,31,0.0,0.0,52.12903225806452,0.0,0.0,0.0,0.0,0.0
5128,2023-07,33025046010000,39426,CONTINENTAL RESOURCES INC,Bice Federal 9-32H1,SWSW,32.0,146.0,95.0,DUN,CHIMNEY BUTTE,BAKKEN,200.0,3814.0,2.0,200,105.0,0,105.0,47.416480669208,-102.820182013188,Dunn,2023,7,31,6.451612903225806,3.3870967741935485,123.03225806451613,0.0,3.3870967741935485,17.5,0.5645161290322581,7.016129032258064
5186,2023-07,33025046260000,39480,CONTINENTAL RESOURCES INC,Meadowlark 12-6HSL1,NENE,6.0,145.0,95.0,DUN,CHIMNEY BUTTE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4142158321572,-102.824097104078,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5197,2023-07,33025045980000,39423,CONTINENTAL RESOURCES INC,Skachenko Federal 11-31HSL,SWSW,32.0,146.0,95.0,DUN,CHIMNEY BUTTE,BAKKEN,0.0,1843.0,8.0,0,0.0,0,0.0,47.4164803475982,-102.820667251646,Dunn,2023,7,31,0.0,0.0,59.45161290322581,0.0,0.0,0.0,0.0,0.0
6395,2023-07,33105058370000,39178,CONTINENTAL RESOURCES INC,CLYDE HAUGE 6-13H,SESE,12.0,155.0,97.0,WIL,DOLLAR JOE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.2562914215733,-103.090794484202,Williams,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6397,2023-07,33105058050000,39090,CONTINENTAL RESOURCES INC,Colette 2-18HSL,NENW,18.0,155.0,96.0,WIL,DOLLAR JOE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.2542308131864,-103.07800294639,Williams,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
